name,ring,quadrant,isNew,description,
DevOps Practices,Standard,Techniques and Patterns,FALSE,"DevOps is the combination of cultural philosophies, practices, and tools that increases an organization's ability to deliver applications and services at high velocity: evolving and improving products at a faster pace than organizations using traditional software development and infrastructure management processes.",Added in 2022 Q2
Microservices,Standard,Techniques and Patterns,FALSE,"A microservice architecture is to arranges an application as a collection of loosely-coupled services. In a microservices architecture, services are fine-grained and the protocols are lightweight. The goal is that teams can bring their services to life independent of others. Loose coupling reduces all types of dependencies and the complexities around it, as service developers do not need to care about the users of the service, they do not force their changes onto users of the service",Added in 2022 Q2
API First Design,Standard,Techniques and Patterns,FALSE,"An API-first approach to building software products means that your organization treats APIs with importance, as reusable and easily accessible that client applications consume. API-first means designing products around an API from the ground up, rather than building a product and adding an API later.",Added in 2022 Q2
Single Page Application (SPA),Standard,Techniques and Patterns,FALSE,"A single-page application (SPA) is a web application or website that interacts with the user by dynamically rewriting the current web page with new data from the web server, instead of the default method of a web browser loading entire new pages.",Added in 2022 Q2
Domain Driven Design,Standard,Techniques and Patterns,TRUE,Domain-driven design (DDD) is a software design approach focusing on modelling software to match a domain according to input from that domain's experts.,Move from Evaluate to Standard in 2022 Q3
Zero Trust Architecture,Evaluate,Techniques and Patterns,FALSE,"Zero Trust is a security framework requiring all users, whether in or outside the organization’s network, to be authenticated, authorized, and continuously validated for security configuration and posture before being granted or keeping access to applications and data. Zero Trust assumes that there is no traditional network edge; networks can be local, in the cloud, or a combination or hybrid with resources anywhere as well as workers in any location.",Added in 2022 Q2
Micro Frontend,Evaluate,Techniques and Patterns,FALSE,Micro frontends are a new pattern where web application UIs (front ends) are composed from semi-independent fragments that can be built by different teams using different technologies. Micro-frontend architectures resemble back-end architectures where back ends are composed from semi-independent microservices.,Added in 2022 Q2
Event-Driven Architecture,Evaluate,Techniques and Patterns,FALSE,"Event-driven architecture (EDA) is a software architecture paradigm promoting the production, detection, consumption of, and reaction to events. An event-driven architecture uses events to trigger and communicate between decoupled services and is common in modern applications built with microservices. An event is a change in state, or an update, like an item being placed in a shopping cart on an e-commerce website. Events can either carry the state (the item purchased, its price, and a delivery address) or events can be identifiers (a notification that an order was shipped).",Added in 2022 Q2
Enterprise Architecture Development Method,Evaluate,Techniques and Patterns,FALSE,"The Architecture Development Method – often referred to by its abbreviation as the ADM – is a detailed step-by-step process for developing or changing an enterprise architecture. The ADM is right at the heart of TOGAF®, in part II of the documentation. Much of the TOGAF documentation covers the ADM, and everything else in TOGAF can be mapped back to the ADM.",Added in 2022 Q2
Chaos Engineering,Evaluate,Techniques and Patterns,FALSE,"Chaos engineering is the discipline of experimenting on a software system in production in order to build confidence in the system's capability to withstand turbulent and unexpected conditions. In software development, a given software system's ability to tolerate failures while still ensuring adequate quality of service—often generalized as resiliency—is typically specified as a requirement. However, development teams often fail to meet this requirement due to factors such as short deadlines or lack of knowledge of the field. Chaos engineering is a technique to meet the resilience requirement. Chaos engineering can be used to achieve resilience against infrastructure failures, network failures, and application failures.",Added in 2022 Q2
Remote Procedure Call (RPC),Evaluate,Techniques and Patterns,FALSE,"In distributed computing, a remote procedure call (RPC) is when a computer program causes a procedure (subroutine) to execute in a different address space (commonly on another computer on a shared network), which is coded as if it were a normal (local) procedure call, without the programmer explicitly coding the details for the remote interaction. That is, the programmer writes essentially the same code whether the subroutine is local to the executing program, or remote. This is a form of client–server interaction (caller is client, executor is server), typically implemented via a request–response message-passing system. In the object-oriented programming paradigm, RPCs are represented by remote method invocation (RMI). The RPC model implies a level of location transparency, namely that calling procedures are largely the same whether they are local or remote, but usually they are not identical, so local calls can be distinguished from remote calls. Remote calls are usually orders of magnitude slower and less reliable than local calls, so distinguishing them is important.",Added in 2022 Q2
Hexagonal Architecture,Evaluate,Techniques and Patterns,TRUE,"The hexagonal architecture, or ports and adapters architecture, is an architectural pattern used in software design. It aims at creating loosely coupled application components that can be easily connected to their software environment by means of ports and adapters. This makes components exchangeable at any level and facilitates test automation.",Added in 2022 Q3
GraphQL,Evaluate,Techniques and Patterns,TRUE,"GraphQL is an open-source data query and manipulation language for APIs, and a runtime for fulfilling queries with existing data. GraphQL was developed internally by Facebook in 2012 before being publicly released in 2015. On 7 November 2018, the GraphQL project was moved from Facebook to the newly established GraphQL Foundation, hosted by the non-profit Linux Foundation. Since 2012, GraphQL's rise has closely followed the adoption timeline as set out by Lee Byron, GraphQL's creator. Byron's goal is to make GraphQL omnipresent across web platforms.",Move from Monitor to Evaluate in 2022 Q3
Microservice Integration Patterns,Monitor,Techniques and Patterns,TRUE,"Microservices integration plays a vital role in creating a seamless experience of the system, from the end user’s perspective. Correctly integrated systems also help realize the benefits of distributed systems: They enable scaling at the service level and improve efficiency, and have a potential of reducing the infrastructure costs while serving business needs . On the other hand, incorrectly integrated systems completely undermine the benefits of a microservices architecture: It can result in painful data loss and integrity issues. The problems are usually very hard to track down, and in the meantime, users are impacted adversely. Seamless integration depends on a number of considerations, mapped to Principles for Microservices Integration.",Added in 2022 Q3
Architecture Decision Records (ADR),Monitor,Techniques and Patterns,FALSE,"In software engineering and software architecture design, architectural decisions are design decisions that address architecturally significant requirements; they are perceived as hard to make and/or costly to change.",
Reactive Programing,Monitor,Techniques and Patterns,FALSE,"In computing, reactive programming is a declarative programming paradigm concerned with data streams and the propagation of change. With this paradigm, it's possible to express static (e.g., arrays) or dynamic (e.g., event emitters) data streams with ease, and also communicate that an inferred dependency within the associated execution model exists, which facilitates the automatic propagation of the changed data flow.",
Page Composing,Monitor,Techniques and Patterns,FALSE,Page layout or page composition is the process of placing and arranging and rearranging text and graphics on the page. A good composition is one that is not only pleasing to look at but also effectively conveys the message of the text and graphics to the intended audience. There are certain tried and true elements of page composition that can help ensure a successful layout. You may notice that these page composition tips are closely tied to the principles of design.,
Trunk-based Development,Standard,Software Development and Framework,FALSE,"A source-control branching model, where developers collaborate on code in a single branch called ‘trunk’ *, resist any pressure to create other long-lived development branches by employing documented techniques. They therefore avoid merge hell, do not break the build, and live happily ever after",
Java,Standard,Software Development and Framework,FALSE,"Java is a high-level, class-based, object-oriented programming language that is designed to have as few implementation dependencies as possible. It is a general-purpose programming language intended to let programmers write once, run anywhere (WORA), meaning that compiled Java code can run on all platforms that support Java without the need to recompile. Java applications are typically compiled to bytecode that can run on any Java virtual machine (JVM) regardless of the underlying computer architecture.",
Python,Standard,Software Development and Framework,FALSE,"Python is a high-level, general-purpose programming language. Its design philosophy emphasizes code readability with the use of significant indentation. Its language constructs and object-oriented approach aim to help programmers write clear, logical code for small- and large-scale projects.",
Spring Boot,Standard,Software Development and Framework,FALSE,"The Spring Framework is an application framework and inversion of control container for the Java platform. The framework's core features can be used by any Java application, but there are extensions for building web applications on top of the Java EE (Enterprise Edition) platform. Although the framework does not impose any specific programming model, it has become popular in the Java community as an addition to the Enterprise JavaBeans (EJB) model. The Spring Framework is open source.",
JavaScript ECMA 6,Standard,Software Development and Framework,FALSE,"ECMAScript is a JavaScript standard meant to ensure the interoperability of web pages across different web browsers. It is standardized by Ecma International according to the document ECMA-262. ECMAScript is commonly used for client-side scripting on the World Wide Web, and it is increasingly being used for writing server applications and services using Node.js. ECMA-262 or the ECMAScript Language Specification defines the ECMAScript Language, or just ECMAScript (aka JavaScript). ECMA-262 only specifies language syntax and semantics of the core API, such as Array, Function, and globalThis, while valid implementations of JavaScript add their own functionality like input/output or file system handling.",
TypeScript,Standard,Software Development and Framework,FALSE,"TypeScript is a programming language developed and maintained by Microsoft. It is a strict syntactical superset of JavaScript and adds optional static typing to the language. TypeScript is designed for the development of large applications and transcompiles to JavaScript. As TypeScript is a superset of JavaScript, existing JavaScript programs are also valid TypeScript programs.",
Vue.js,Standard,Software Development and Framework,FALSE,"Vue.js is an open-source model–view–viewmodel front end JavaScript framework for building user interfaces and single-page applications. It was created by Evan You, and is maintained by him and the rest of the active core team members.",
Swift,Standard,Software Development and Framework,FALSE,"Swift is a general-purpose, multi-paradigm, compiled programming language developed by Apple Inc. and the open-source community. First released in 2014, Swift was developed as a replacement for Apple's earlier programming language Objective-C, as Objective-C had been largely unchanged since the early 1980s and lacked modern language features. Swift works with Apple's Cocoa and Cocoa Touch frameworks, and a key aspect of Swift's design was the ability to interoperate with the huge body of existing Objective-C code developed for Apple products over the previous decades.",
Kotlin,Standard,Software Development and Framework,FALSE,"Kotlin  is a cross-platform, statically typed, general-purpose programming language with type inference. Kotlin is designed to interoperate fully with Java, and the JVM version of Kotlin's standard library depends on the Java Class Library, but type inference allows its syntax to be more concise. Kotlin mainly targets the JVM, but also compiles to JavaScript (e.g., for frontend web applications using React) or native code via LLVM (e.g., for native iOS apps sharing business logic with Android apps).",
Flask,Standard,Software Development and Framework,FALSE,"Flask is a micro web framework written in Python. It is classified as a microframework because it does not require particular tools or libraries. It has no database abstraction layer, form validation, or any other components where pre-existing third-party libraries provide common functions. However, Flask supports extensions that can add application features as if they were implemented in Flask itself. Extensions exist for object-relational mappers, form validation, upload handling, various open authentication technologies and several common framework related tools.",
Express.js,Standard,Software Development and Framework,FALSE,"Express.js, or simply Express, is a back end web application framework for Node.js, released as free and open-source software under the MIT License. It is designed for building web applications and APIs. It has been called the de facto standard server framework for Node.js.",
Node.js,Standard,Software Development and Framework,FALSE,"Node.js is an open-source, cross-platform, back-end JavaScript runtime environment that runs on the V8 engine and executes JavaScript code outside a web browser. Node.js lets developers use JavaScript to write command line tools and for server-side scripting—running scripts server-side to produce dynamic web page content before the page is sent to the user's web browser. Consequently, Node.js represents a ""JavaScript everywhere"" paradigm, unifying web-application development around a single programming language, rather than different languages for server-side and client-side scripts.",
GitFlow,Evaluate,Software Development and Framework,FALSE,Gitflow is a legacy Git workflow that was originally a disruptive and novel strategy for managing Git branches.,
Spock Framework,Evaluate,Software Development and Framework,FALSE,"Spock is a Java testing framework capable of handling the full life cycle of a computer program. It was initially created in 2008 by Peter Niederwieser, a software engineer with GradleWare. A second Spock committer is Luke Daley (also with Gradleware) who is also the creator of the popular Geb functional testing framework.",
Apache Dubbo,Evaluate,Software Development and Framework,FALSE,"Apache Dubbo is a high-performance, java based RPC framework open-sourced by Alibaba. As in many RPC systems, dubbo is based around the idea of defining a service, specifying the methods that can be called remotely with their parameters and return types. On the server side, the server implements this interface and runs a dubbo server to handle client calls. On the client side, the client has a stub that provides the same methods as the server.",
Spring Cloud,Evaluate,Software Development and Framework,FALSE,"Spring Cloud provides tools for developers to quickly build some of the common patterns in distributed systems (e.g. configuration management, service discovery, circuit breakers, intelligent routing, micro-proxy, control bus, one-time tokens, global locks, leadership election, distributed sessions, cluster state). Coordination of distributed systems leads to boiler plate patterns, and using Spring Cloud developers can quickly stand up services and applications that implement those patterns. They will work well in any distributed environment, including the developer’s own laptop, bare metal data centres, and managed platforms such as Cloud Foundry.",
Flux,Evaluate,Software Development and Framework,FALSE,"Flux is an open-source machine-learning software library and ecosystem written in Julia. Its current stable release is v0.12.8. It has a layer-stacking-based interface for simpler models, and has a strong support on interoperability with other Julia packages instead of a monolithic design.",
Go (Golang),Evaluate,Software Development and Framework,FALSE,"Go is a statically typed, compiled programming language designed at Google by Robert Griesemer, Rob Pike, and Ken Thompson. Go is syntactically similar to C, but with memory safety, garbage collection, structural typing, and CSP-style concurrency. The language is often referred to as Golang because of its former domain name, golang.org, but the proper name is Go.",
Reactive.js,Evaluate,Software Development and Framework,FALSE,"React (also known as React.js or ReactJS) is a free and open-source front-end JavaScript library for building user interfaces based on UI components. It is maintained by Meta (formerly Facebook) and a community of individual developers and companies. React can be used as a base in the development of single-page, mobile, or server-rendered applications with frameworks like Next.js. However, React is only concerned with state management and rendering that state to the DOM, so creating React applications usually requires the use of additional libraries for routing, as well as certain client-side functionality.[",
Qiankun,Evaluate,Software Development and Framework,TRUE,"Qiankun is an implementation of Micro Frontends, which based on single-spa. It aims to make it easier and painless to build a production-ready microfront-end architecture system. Qiankun hatched from Ant Financial’s unified front-end platform for cloud products based on micro-frontends architecture. After full testing and polishing of a number of online applications, we extracted its micro-frontends kernel and open sourced it. We hope to help the systems who has the same requirement more convenient to build its own micro-frontends application in the community. At the same time, with the help of community, qiankun will be polished and improved.",Added in 2022 Q3
Flutter,Monitor,Software Development and Framework,FALSE,"Flutter is an open-source UI software development kit created by Google. It is used to develop cross platform applications for Android, iOS, Linux, macOS, Windows, Google Fuchsia, and the web from a single codebase.",
Quarkus,Monitor,Software Development and Framework,FALSE,Quarkus is a Java framework tailored for deployment on Kubernetes. Key technology components surrounding it are OpenJDK HotSpot and GraalVM. The goal of Quarkus is to make Java a leading platform in Kubernetes and serverless environments while offering developers a unified reactive and imperative programming model to optimally address a wider range of distributed application architectures.,
Container Orchestration,Standard,Platform and Cloud Services,FALSE,"Container orchestration is all about managing the lifecycles of containers, especially in large, dynamic environments. Software teams use container orchestration to control and automate many tasks: Provisioning and deployment of containers; Redundancy and availability of containers; Scaling up or removing containers to spread application load evenly across host infrastructure; Movement of containers from one host to another if there is a shortage of resources in a host, or if a host dies; Allocation of resources between containers; External exposure of services running in a container with the outside world; Load balancing of service discovery between containers; Health monitoring of containers and hosts; Configuration of an application in relation to the containers running it",
Infrastructure as Code (IaC),Standard,Platform and Cloud Services,FALSE,"Infrastructure as code (IaC) is the process of managing and provisioning computer data centers through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools. The IT infrastructure managed by this process comprises both physical equipment, such as bare-metal servers, as well as virtual machines, and associated configuration resources. The definitions may be in a version control system. The code in the definition files may use either scripts or declarative definitions, rather than maintaining the code through manual processes, but IaC more often employs declarative approaches.",
Application Performance Management (APM),Standard,Platform and Cloud Services,FALSE,"In the fields of information technology and systems management, application performance management (APM) is the monitoring and management of performance and availability of software applications. APM strives to detect and diagnose complex application performance problems to maintain an expected level of service. APM is ""the translation of IT metrics into business meaning ([i.e.] value).""",
Low-code development platform (LCDP),Evaluate,Platform and Cloud Services,FALSE,"A low-code development platform (LCDP) provides a development environment used to create application software through a graphical user interface. A low-coded platform may produce entirely operational applications, or require additional coding for specific situations. Low-code development platforms can reduce the amount of traditional time spent, enabling accelerated delivery of business applications. A common benefit is that a wider range of people can contribute to the application's development—not only those with coding skills but require a good governance to be able adhere to common rules and regulations. LCDPs can also lower the initial cost of setup, training, deployment and maintenance.",
Service Mesh,Evaluate,Platform and Cloud Services,FALSE,"In software architecture, a service mesh is a dedicated infrastructure layer for facilitating service-to-service communications between services or microservices, using a proxy.A dedicated communication layer can provide a number of benefits, such as providing observability into communications, providing secure connections, or automating retries and backoff for failed requests. A service mesh consists of network proxies paired with each service in an application and a set of task management processes. The proxies are called the data plane and the management processes are called the control plane. The data plane intercepts calls between different services and “processes” them; the control plane is the brain of the mesh that coordinates the behavior of proxies and provides APIs for operations and maintenance personnel to manipulate and observe the entire network.",
Istio,Evaluate,Platform and Cloud Services,TRUE,"Istio extends Kubernetes to establish a programmable, application-aware network using the powerful Envoy service proxy. Working with both Kubernetes and traditional workloads, Istio brings standard, universal traffic management, telemetry, and security to complex deployments.",Added in 2022 Q3
DevSecOps,Evaluate,Platform and Cloud Services,FALSE,"DevSecOps is an augmentation of DevOps to allow for security practices to be integrated into the DevOps approach. Contrary to a traditional centralized security team model, each delivery team is empowered to factor in the correct security controls into their software delivery. Security practices and testing are performed earlier in the development lifecycle, hence the term ""shift left"" can be used. Security is tested in three main areas: static, software composition, and dynamic.",
Event streaming,Evaluate,Platform and Cloud Services,FALSE,"Event stream processing, or ESP, is a set of technologies designed to assist the construction of event-driven information systems. ESP technologies include event visualization, event databases, event-driven middleware, and event processing languages, or complex event processing (CEP). In practice, the terms ESP and CEP are often used interchangeably. ESP deals with the task of processing streams of event data with the goal of identifying the meaningful pattern within those streams, employing techniques such as detection of relationships between multiple events, event correlation, event hierarchies, and other aspects such as causality, membership and timing.",
Edge Computing,Monitor,Platform and Cloud Services,FALSE,"Edge computing is a distributed computing paradigm that brings computation and data storage closer to the sources of data. This is expected to improve response times and save bandwidth. ""A common misconception is that edge and IoT are synonymous. Edge computing is a topology- and location-sensitive form of distributed computing, while IoT is a use case instantiation of edge computing."" The term refers to an architecture rather than a specific technology.",
